espn_rank,name,team,position
1,Jahmyr Gibbs,DET,RB
2,Ja'Marr Chase,CIN,WR
3,Jaxon Smith-Njigba,SEA,WR
4,Amon-Ra St. Brown,DET,WR
5,Bijan Robinson,ATL,RB
6,Puka Nacua,LAR,WR
7,CeeDee Lamb,DAL,WR
8,Josh Allen,BUF,QB
9,Christian McCaffrey,SF,RB
10,Jonathan Taylor,IND,RB
11,Justin Jefferson,MIN,WR
12,James Cook III,BUF,RB
13,Trey McBride,ARI,TE
14,Brock Bowers,LV,TE
15,De'Von Achane,MIA,RB
16,Saquon Barkley,PHI,RB
17,Brandon Aubrey,DAL,K
18,Derrick Henry,BAL,RB
19,Lamar Jackson,BAL,QB
20,Drake London,ATL,WR
21,George Pickens,DAL,WR
22,A.J. Brown,NE,WR
23,Nico Collins,HOU,WR
24,Ashton Jeanty,LV,RB
25,Colston Loveland,CHI,TE
26,Kenneth Walker III,KC,RB
27,Omarion Hampton,LAC,RB
28,Chase Brown,CIN,RB
29,Rashee Rice,KC,WR
30,Jeremiyah Love,ARI,RB
31,Drake Maye,NE,QB
32,Chris Olave,NO,WR
33,DeVonta Smith,PHI,WR
34,Tyler Warren,IND,TE
35,Malik Nabers,NYG,WR
36,Jayden Daniels,WSH,QB
37,Garrett Wilson,NYJ,WR
38,Javonte Williams,DAL,RB
39,Texans D/ST,HOU,D/ST
40,Cameron Dicker,LAC,K
41,Breece Hall,NYJ,RB
42,Tetairoa McMillan,CAR,WR
43,Kyren Williams,LAR,RB
44,Davante Adams,LAR,WR
45,Cam Skattebo,NYG,RB
46,Broncos D/ST,DEN,D/ST
47,Zay Flowers,BAL,WR
48,Jalen Hurts,PHI,QB
49,Jason Myers,SEA,K
50,Seahawks D/ST,SEA,D/ST
51,Travis Etienne Jr.,NO,RB
52,Emeka Egbuka,TB,WR
53,Joe Burrow,CIN,QB
54,Ladd McConkey,LAC,WR
55,Rams D/ST,LAR,D/ST
56,Tee Higgins,CIN,WR
57,Jaylen Waddle,DEN,WR
58,Quinshon Judkins,CLE,RB
59,Kyle Pitts Sr.,ATL,TE
60,Bucky Irving,TB,RB
61,Steelers D/ST,PIT,D/ST
62,Terry McLaurin,WSH,WR
63,Sam LaPorta,DET,TE
64,D'Andre Swift,CHI,RB
65,Jameson Williams,DET,WR
66,DJ Moore,BUF,WR
67,Harold Fannin Jr.,CLE,TE
68,Ka'imi Fairbairn,HOU,K
69,Rome Odunze,CHI,WR
70,David Montgomery,HOU,RB
71,Jaxson Dart,NYG,QB
72,Jadarian Price,SEA,RB
73,Dak Prescott,DAL,QB
74,Josh Jacobs,GB,RB
75,George Kittle,SF,TE
76,Bhayshul Tuten,JAX,RB
77,Matthew Stafford,LAR,QB
78,Carnell Tate,TEN,WR
79,Harrison Mevis,LAR,K
80,Luther Burden III,CHI,WR
81,TreVeyon Henderson,NE,RB
82,Courtland Sutton,DEN,WR
83,DK Metcalf,PIT,WR
84,Marvin Harrison Jr.,ARI,WR
85,Justin Herbert,LAC,QB
86,Caleb Williams,CHI,QB
87,Tucker Kraft,GB,TE
88,Travis Kelce,KC,TE
89,Rhamondre Stevenson,NE,RB
90,Mike Evans,SF,WR
91,Ravens D/ST,BAL,D/ST
92,Dallas Goedert,PHI,TE
93,Michael Pittman Jr.,PIT,WR
94,Jaylen Warren,PIT,RB
