name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles_lost
Jahmyr Gibbs,DET,RB,1.7,1.7,365.3,330.7,19.5,364.6,21.4,0,0,0,0,0,283.2,1374.1,14.5,86.0,67.7,546.4,3.4,1.3
Puka Nacua,LAR,WR,3.8,3.8,356.6,294.7,17.3,356.2,21.0,0,0,0,0,0,15.9,105.7,1.2,174.3,123.0,1589.9,9.8,1.0
Amon-Ra St. Brown,DET,WR,8.3,8.3,324.1,264.6,15.6,323.6,19.0,0,0,0,0,0,2.3,13.5,0.1,166.6,118.0,1426.8,10.4,0.8
Ja'Marr Chase,CIN,WR,4.7,4.7,336.4,275.6,16.2,335.3,19.7,0,0,0,0,0,4.1,21.1,0.1,171.6,119.4,1507.0,10.7,0.9
Bijan Robinson,ATL,RB,2.6,2.6,353.0,313.8,18.5,351.6,20.7,0,0,0,0,0,286.7,1374.1,8.5,98.5,75.7,707.1,3.4,1.6
Jaxon Smith-Njigba,SEA,WR,5.8,5.8,326.8,267.7,15.7,326.1,19.2,0,0,0,0,0,4.6,25.2,0.2,166.3,116.7,1569.2,8.5,1.2
Christian McCaffrey,SF,RB,6.6,6.6,343.4,302.4,17.8,341.9,20.1,0,0,0,0,0,274.2,1130.9,9.2,100.1,79.1,685.2,4.8,1.2
Josh Allen,BUF,QB,22.5,22.5,369.2,363.6,21.4,363.6,21.4,508.8,340.1,3944.7,26.2,11.6,116.4,579.5,12.4,0,0,0,0,4.2
CeeDee Lamb,DAL,WR,10.6,10.6,294.3,241.7,14.2,293.7,17.3,0,0,0,0,0,2.2,12.6,0.1,158.3,103.9,1378.9,8.6,0.7
Justin Jefferson,MIN,WR,12.1,12.1,293.7,237.4,14.0,292.8,17.2,0,0,0,0,0,2.0,10.6,0.1,165.9,110.7,1375.6,7.4,0.7
Jonathan Taylor,IND,RB,8.1,8.1,317.0,289.9,17.1,315.6,18.6,0,0,0,0,0,327.2,1510.3,11.6,62.9,51.3,380.5,1.4,1.5
James Cook III,BUF,RB,13.0,13.0,279.4,260.0,15.3,278.0,16.4,0,0,0,0,0,299.9,1399.6,11.0,46.0,35.9,302.1,1.6,1.8
Brock Bowers,LV,TE,23.7,23.7,240.2,190.1,11.2,239.4,14.1,0,0,0,0,0,4.2,15.5,0.2,135.4,98.4,995.9,6.6,0.3
Trey McBride,ARI,TE,19.4,19.4,242.1,187.5,11.0,241.5,14.2,0,0,0,0,0,0,0,0,148.9,107.8,1023.9,5.4,0.5
De'Von Achane,MIA,RB,12.4,12.4,292.8,259.7,15.3,292.1,17.2,0,0,0,0,0,257.7,1304.6,5.0,80.5,64.8,511.8,3.0,1.0
Saquon Barkley,PHI,RB,17.0,17.0,273.7,251.4,14.8,272.9,16.1,0,0,0,0,0,300.7,1287.0,8.7,59.0,43.1,371.1,2.3,1.0
Derrick Henry,BAL,RB,20.9,20.9,274.4,262.9,15.5,273.6,16.1,0,0,0,0,0,317.0,1482.1,13.1,28.0,21.4,210.2,1.2,1.5
Ashton Jeanty,LV,RB,17.8,17.8,281.5,247.9,14.6,280.4,16.5,0,0,0,0,0,281.1,1136.5,7.1,86.7,65.0,494.6,2.0,1.2
Lamar Jackson,BAL,QB,39.3,39.3,322.5,320.4,18.8,320.4,18.8,466.8,302.8,3885.7,26.0,9.7,122.2,670.8,3.7,0,0,0,0,4.3
George Pickens,DAL,WR,28.1,28.1,239.1,198.5,11.7,238.5,14.0,0,0,0,0,0,0,0,0,124.4,79.9,1114.1,8.2,0.9
Drake London,ATL,WR,18.9,18.9,269.6,217.8,12.8,268.7,15.8,0,0,0,0,0,0,0,0,158.8,102.0,1248.6,7.3,0.9
Nico Collins,HOU,WR,27.8,27.8,249.1,204.9,12.1,248.1,14.6,0,0,0,0,0,2.1,11.8,0.1,137.1,86.4,1210.6,6.7,0.7
