"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Puka Nacua","LAR","11","WR","1","21.5","7","106","1","126","1682","10","1"
"Christian McCaffrey","SF","8","RB","2","21.4","279","1107","9","90","836","5","2"
"Jahmyr Gibbs","DET","6","RB","3","21.1","255","1280","13","68","580","5","2"
"Bijan Robinson","ATL","11","RB","4","20.0","280","1301","9","65","727","4","3"
"Ja'Marr Chase","CIN","6","WR","5","19.7","4","20","0","126","1496","10","1"
"Jaxon Smith-Njigba","SEA","11","WR","6","19.0","7","32","0","110","1625","8","1"
"Amon-Ra St. Brown","DET","6","WR","7","18.7","8","38","0","120","1420","9","1"
"De'Von Achane","MIA","6","RB","8","18.5","217","1151","7","73","600","5","2"
"Jonathan Taylor","IND","13","RB","9","16.7","301","1399","12","38","325","1","2"
"James Cook III","BUF","7","RB","10","16.6","295","1425","12","31","284","2","2"
"Ashton Jeanty","LV","13","RB","11","16.3","295","1220","9","49","408","3","3"
"Trey McBride","ARI","14","TE","12","16.0","0","0","0","108","1113","9","1"
"Brock Bowers","LV","13","TE","13","15.8","3","12","0","95","1200","9","1"
"CeeDee Lamb","DAL","14","WR","14","15.7","8","47","0","100","1208","7","1"
"Justin Jefferson","MIN","6","WR","15","15.3","4","21","0","93","1216","8","1"
"Drake London","ATL","11","WR","16","15.2","0","0","0","93","1218","8","1"
"George Pickens","DAL","14","WR","17","14.7","3","16","0","84","1201","8","1"
"Omarion Hampton","LAC","7","RB","18","14.7","235","1056","10","46","310","2","2"
"Garrett Wilson","NYJ","13","WR","19","14.6","4","21","0","96","1093","7","1"
"A.J. Brown","NE","11","WR","20","14.6","3","11","0","90","1107","8","1"
"Chris Olave","NO","8","WR","21","14.4","2","0","0","92","1076","8","1"
"Kenneth Walker III","KC","5","RB","22","14.4","245","1150","10","34","270","2","2"
"Saquon Barkley","PHI","10","RB","23","14.3","275","1095","9","39","317","2","2"
"Chase Brown","CIN","6","RB","24","14.3","214","900","6","53","407","4","1"
"Rashee Rice","KC","5","WR","25","14.1","10","38","1","81","1040","8","1"
"Ladd McConkey","LAC","7","WR","26","14.1","4","23","0","90","1091","7","1"
"DeVonta Smith","PHI","10","WR","27","14.1","2","8","0","91","1104","6","0"
"Derrick Henry","BAL","13","RB","28","14.1","276","1332","12","16","165","1","2"
"Nico Collins","HOU","8","WR","29","14.0","3","16","0","78","1180","7","1"
"Malik Nabers","NYG","8","WR","30","13.9","10","45","0","82","1117","7","1"
"Emeka Egbuka","TB","10","WR","31","13.9","7","47","0","78","1188","6","1"
"Breece Hall","NYJ","13","RB","32","13.8","243","1069","6","41","392","2","2"
"Zay Flowers","BAL","13","WR","33","13.6","8","42","1","81","1111","6","2"
"Josh Jacobs","GB","11","RB","34","13.6","225","956","11","39","301","1","2"
"Tee Higgins","CIN","6","WR","35","13.6","0","5","0","73","1100","8","0"
"Luther Burden III","CHI","10","WR","36","13.4","8","63","0","82","1139","4","0"
"Jameson Williams","DET","6","WR","37","13.4","8","43","0","68","1121","8","1"
"Jeremiyah Love","ARI","14","RB","38","13.4","221","1072","6","40","333","2","1"
"Alec Pierce","IND","13","WR","39","13.3","3","18","0","69","1154","7","1"
"Terry McLaurin","WAS","7","WR","40","13.3","3","19","0","75","1066","7","1"
"Tetairoa McMillan","CAR","5","WR","41","13.2","0","0","0","72","1045","8","0"
"Cam Skattebo","NYG","8","RB","42","13.1","213","914","7","42","365","3","3"
"Christian Watson","GB","11","WR","43","13.1","8","35","0","66","1070","8","1"
"Javonte Williams","DAL","14","RB","44","13.0","245","1121","10","34","135","1","2"
"Rome Odunze","CHI","10","WR","45","13.0","0","0","0","70","1001","9","0"
"DK Metcalf","PIT","9","WR","46","13.0","4","14","0","74","1050","7","1"
"Brian Thomas Jr.","JAX","7","WR","47","12.9","7","32","1","72","1035","6","1"
"Bhayshul Tuten","JAX","7","RB","48","12.9","244","1082","7","35","206","3","3"
"Kyren Williams","LAR","11","RB","49","12.7","212","1024","8","30","236","2","2"
"Quinshon Judkins","CLE","11","RB","50","12.5","275","1045","7","30","229","2","0"
"Bucky Irving","TB","10","RB","51","12.4","218","889","5","39","349","3","2"
"Tyler Warren","IND","13","TE","52","12.3","12","53","1","84","872","5","1"
"Travis Etienne Jr.","NO","8","RB","53","12.3","227","966","7","32","261","3","2"
"Parker Washington","JAX","7","WR","54","12.3","9","50","0","73","1001","6","1"
"Carnell Tate","TEN","9","WR","55","12.1","9","55","0","67","943","7","1"
"Colston Loveland","CHI","10","TE","56","12.1","1","0","0","73","850","8","0"
"Marvin Harrison Jr.","ARI","14","WR","57","12.0","0","3","0","67","939","7","0"
"Jaylen Waddle","DEN","10","WR","58","12.0","8","31","0","71","960","6","1"
"Michael Wilson","ARI","14","WR","59","11.9","0","3","0","77","942","5","0"
