"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Jahmyr Gibbs","DET","6","RB","1","22.8","260","1325","13","84","675","5","1"
"Bijan Robinson","ATL","11","RB","2","22.6","290","1421","10","86","774","4","2"
"Christian McCaffrey","SF","8","RB","3","20.3","250","1200","12","68","620","5","2"
"Jonathan Taylor","IND","13","RB","4","19.8","312","1498","14","50","400","3","1"
"Ja'Marr Chase","CIN","6","WR","5","19.6","2","10","0","112","1526","12","1"
"Puka Nacua","LAR","11","WR","6","19.2","8","75","0","115","1575","8","1"
"CeeDee Lamb","DAL","14","WR","7","18.7","5","30","0","110","1450","10","1"
"Jaxon Smith-Njigba","SEA","11","WR","8","18.3","5","30","0","109","1466","9","0"
"James Cook III","BUF","7","RB","9","17.0","285","1455","12","33","300","3","3"
"Amon-Ra St. Brown","DET","6","WR","10","16.4","3","8","0","100","1225","10","1"
"Ashton Jeanty","LV","13","RB","11","16.3","269","1184","8","55","424","3","2"
"Drake London","ATL","11","WR","12","16.2","0","0","0","95","1244","10","1"
"Derrick Henry","BAL","13","RB","13","16.1","305","1556","16","13","125","1","2"
"Justin Jefferson","MIN","6","WR","14","15.9","1","5","0","95","1311","7","0"
"Rashee Rice","KC","5","WR","15","15.7","5","20","1","99","1165","8","1"
"A.J. Brown","NE","11","WR","16","15.6","0","0","0","96","1230","8","1"
"De'Von Achane","MIA","6","RB","17","15.6","215","1085","7","59","457","2","2"
"Chase Brown","CIN","6","RB","18","15.6","235","1010","8","58","410","4","2"
"Omarion Hampton","LAC","7","RB","19","15.5","242","1220","12","34","285","2","1"
"Trey McBride","ARI","14","TE","20","15.4","0","0","0","110","1055","8","0"
"Garrett Wilson","NYJ","13","WR","21","15.4","1","5","0","99","1188","8","1"
"Brock Bowers","LV","13","TE","22","15.3","0","0","0","103","1130","7","0"
"Chris Olave","NO","8","WR","23","15.2","1","4","0","92","1242","7","0"
"Kyren Williams","LAR","11","RB","24","14.9","240","1135","11","36","275","3","2"
