"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Jahmyr Gibbs","DET","6","RB","1","22.9","282","1410","14","81","640","4","2"
"Bijan Robinson","ATL","11","RB","2","22.3","284","1391","12","80","715","4","3"
"Ja'Marr Chase","CIN","6","WR","3","20.5","3","15","0","124","1536","12","1"
"Jaxon Smith-Njigba","SEA","11","WR","4","19.3","5","26","0","117","1576","9","2"
"Christian McCaffrey","SF","8","RB","5","19.3","271","1167","9","72","628","4","2"
"Amon-Ra St. Brown","DET","6","WR","6","17.8","3","19","0","114","1332","9","1"
"Puka Nacua","LAR","11","WR","7","17.5","10","74","1","106","1412","7","1"
"CeeDee Lamb","DAL","14","WR","8","17.3","8","45","0","105","1381","8","1"
"Jonathan Taylor","IND","13","RB","9","16.2","302","1448","10","37","292","1","2"
"Kenneth Walker","KC","5","RB","10","16.1","262","1231","8","50","427","2","1"
"James Cook III","BUF","7","RB","11","16.0","296","1509","11","28","251","2","4"
"Chase Brown","CIN","6","RB","12","15.8","237","1043","7","63","433","3","2"
"Nico Collins","HOU","8","WR","13","15.3","0","0","0","86","1321","7","1"
"Chris Olave","NO","8","WR","14","15.3","0","0","0","101","1208","6","0"
"De'Von Achane","MIA","6","RB","15","15.2","213","1108","8","50","365","3","1"
"Justin Jefferson","MIN","6","WR","16","15.0","0","0","0","97","1217","6","0"
"Drake London","ATL","11","WR","17","15.0","0","0","0","94","1217","7","1"
"A.J. Brown","NE","11","WR","18","15.0","0","0","0","91","1168","8","1"
"Rashee Rice","KC","5","WR","19","15.0","3","10","0","102","1125","7","1"
"Derrick Henry","BAL","13","RB","20","14.9","278","1392","13","20","191","1","3"
"Jeremiyah Love","ARI","14","RB","21","14.7","237","1090","8","50","353","2","0"
"Malik Nabers","NYG","8","WR","22","14.7","0","0","0","88","1192","7","0"
"Brock Bowers","LV","13","TE","23","14.7","3","6","0","101","1067","7","0"
"Garrett Wilson","NYJ","13","WR","24","14.7","0","0","0","104","1149","6","2"
"Saquon Barkley","PHI","10","RB","25","14.7","268","1233","11","32","240","1","1"
"Trey McBride","ARI","14","TE","26","14.7","0","0","0","104","1038","7","0"
"George Pickens","DAL","14","WR","27","14.7","0","0","0","86","1297","7","3"
"Omarion Hampton","LAC","7","RB","28","14.6","245","1076","8","54","329","2","1"
"Ashton Jeanty","LV","13","RB","29","14.6","265","1112","7","53","334","2","2"
"Zay Flowers","BAL","13","WR","30","14.2","9","57","1","84","1122","7","2"
"D'Andre Swift","CHI","10","RB","31","14.1","245","1153","9","36","308","1","2"
"Kyren Williams","LAR","11","RB","32","13.9","228","1051","9","41","276","2","3"
"DeVonta Smith","PHI","10","WR","33","13.8","0","0","0","85","1092","7","0"
"Jaylen Waddle","DEN","10","WR","34","13.7","3","21","0","84","1127","6","1"
"Tetairoa McMillan","CAR","5","WR","35","13.7","0","0","0","78","1113","7","0"
"Emeka Egbuka","TB","10","WR","36","13.6","2","9","0","79","1103","7","0"
"Tee Higgins","CIN","6","WR","37","13.4","0","0","0","75","1042","8","0"
"Davante Adams","LAR","11","WR","38","13.3","0","0","0","77","972","9","0"
"Christian Watson","GB","11","WR","39","13.2","3","17","0","65","1110","8","0"
"Javonte Williams","DAL","14","RB","40","13.2","240","1058","9","44","175","1","2"
"Breece Hall","NYJ","13","RB","41","13.2","219","965","5","47","409","2","3"
"Ladd McConkey","LAC","7","WR","42","13.1","0","0","0","81","994","7","1"
"Parker Washington","JAX","7","WR","43","13.0","4","0","0","77","1027","7","0"
"Carnell Tate","TEN","9","WR","44","13.0","0","0","0","80","976","7","0"
"Bhayshul Tuten","JAX","7","RB","45","13.0","204","856","8","45","344","2","1"
"Luther Burden III","CHI","10","WR","46","12.9","6","37","0","77","1061","5","0"
"Bucky Irving","TB","10","RB","47","12.9","235","985","6","42","360","2","1"
"Cam Skattebo","NYG","8","RB","48","12.8","233","954","7","40","334","2","1"
"Mike Evans","SF","8","WR","49","12.7","0","0","0","69","989","8","0"
"Travis Etienne Jr.","NO","8","RB","50","12.7","219","963","6","41","322","2","1"
"Terry McLaurin","WAS","7","WR","51","12.7","0","0","0","72","1015","7","0"
"Jameson Williams","DET","6","WR","52","12.7","6","31","0","63","1059","7","0"
"David Montgomery","HOU","8","RB","53","12.5","231","1014","7","36","303","1","2"
"Quentin Johnston","LAC","7","WR","54","12.4","2","7","0","70","932","8","0"
"MarShawn Lloyd","GB","11","RB","55","12.4","241","989","7","37","255","1","0"
"Chris Godwin Jr.","TB","10","WR","56","12.4","0","0","0","83","943","6","0"
"Stefon Diggs","WAS","7","WR","57","12.2","0","0","0","85","897","5","0"
"Alec Pierce","IND","13","WR","58","12.0","0","0","0","58","1078","7","0"
"J.K. Dobbins","DEN","10","RB","59","12.0","251","1157","9","20","100","0","0"
"DK Metcalf","PIT","9","WR","60","11.9","0","0","0","68","951","7","1"
"Tyler Warren","IND","13","TE","61","11.8","0","0","0","80","860","6","0"
"George Kittle","SF","8","TE","62","11.8","0","0","0","79","864","6","0"
"DJ Moore","BUF","7","WR","63","11.8","12","62","1","65","898","6","0"
"Colston Loveland","CHI","10","TE","64","11.7","0","0","0","72","873","7","0"
"Rico Dowdle","PIT","9","RB","65","11.6","228","1028","5","33","244","2","1"
"Quinshon Judkins","CLE","11","RB","66","11.6","291","1105","7","27","176","1","0"
"De'Zhaun Stribling","SF","8","WR","67","11.6","0","0","0","74","901","5","0"
