"Name","Team","Bye Week","Rank","PPG","YDS","TDS","YDS","TDS","INT","FUM"
"Josh Allen","BUF","7","1","26.3","4176","32","560","11","11","6"
"Joe Burrow","CIN","6","2","23.8","4751","36","145","2","10","4"
"Lamar Jackson","BAL","13","3","23.3","3720","30","620","6","9","5"
"Dak Prescott","DAL","14","4","23.0","4781","34","155","2","12","4"
"Drake Maye","NE","11","5","22.9","4433","30","428","3","11","3"
"Justin Herbert","LAC","7","6","22.9","4245","33","300","3","10","2"
"Caleb Williams","CHI","10","7","22.8","4211","32","360","4","11","5"
"Jayden Daniels","WAS","7","8","22.7","3921","28","651","6","12","5"
"Jaxson Dart","NYG","8","9","22.5","3996","26","633","6","10","5"
"Jalen Hurts","PHI","10","10","22.4","3890","26","367","10","9","4"
"Trevor Lawrence","JAX","7","11","22.3","4300","31","295","4","11","5"
"Brock Purdy","SF","8","12","22.2","4384","33","225","3","13","5"
"Matthew Stafford","LAR","11","13","22.1","4580","36","0","0","9","3"
"Jared Goff","DET","6","14","22.0","4650","35","105","0","11","5"
"Baker Mayfield","TB","10","15","21.9","4364","32","310","2","13","4"
"Patrick Mahomes","KC","5","16","21.9","4336","31","248","2","11","1"
"Bo Nix","DEN","10","17","21.9","4213","29","334","4","11","2"
"Jordan Love","GB","11","18","21.6","4250","32","180","2","8","4"
"Tyler Shough","NO","8","19","20.9","4180","26","413","4","12","5"
"Kyler Murray","MIN","6","20","20.8","3745","24","560","5","11","3"
"Cam Ward","TEN","9","21","19.3","4017","26","310","3","12","5"
"Daniel Jones","IND","13","22","18.8","4082","25","200","3","11","5"
"C.J. Stroud","HOU","8","23","18.2","3976","25","215","2","10","5"
"Malik Willis","MIA","6","24","18.1","3414","18","655","5","12","3"
"Aaron Rodgers","PIT","9","25","17.9","3942","27","60","1","10","4"
"Sam Darnold","SEA","11","26","17.8","4166","27","107","1","15","5"
"Bryce Young","CAR","5","27","17.0","3380","26","225","2","12","5"
"Geno Smith","NYJ","13","28","16.6","3790","25","130","1","14","5"
"Tua Tagovailoa","ATL","11","29","14.1","3441","22","40","0","11","6"
"Shedeur Sanders","CLE","11","30","13.0","1718","23","305","1","8","3"
"Carson Beck","ARI","14","31","8.9","2147","12","55","1","9","0"
"Deshaun Watson","CLE","11","32","8.3","1747","11","144","2","5","3"
"Fernando Mendoza","LV","13","33","8.3","1971","11","191","2","11","5"
"Jacoby Brissett","ARI","14","34","7.4","1668","10","71","0","4","0"
"Kirk Cousins","LV","13","35","6.1","1524","9","3","0","5","2"
"Michael Penix Jr.","ATL","11","36","1.9","453","3","12","0","1","1"
