"Name","Position","Team","Bye Week","Rank","Andy","Jason","Mike","Markers"
"Brandon Aubrey","K","DAL","14","1","1","1","1","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cameron Dicker","K","LAC","7","2","3","2","2","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ka'imi Fairbairn","K","HOU","8","3","2","4","5","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jason Myers","K","SEA","11","4","5","3","3","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Little","K","JAX","7","5","4","5","4","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Eddy Piñeiro","K","SF","8","6","6","7","6","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Evan McPherson","K","CIN","6","7","8","6","8","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Loop","K","BAL","13","8","7","8","7","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chase McLaughlin","K","TB","10","9","11","9","11","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Andy Borregales","K","NE","11","10","10","13","9","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cairo Santos","K","CHI","10","11","9","16","10","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Harrison Butker","K","KC","5","12","12","11","12","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jake Bates","K","DET","6","13","13","12","13","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Wil Lutz","K","DEN","10","14","16","10","16","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Will Reichard","K","MIN","6","15","15","14","14","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Boswell","K","PIT","9","16","14","17","15","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Harrison Mevis","K","LAR","11","17","17","18","17","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Charlie Smyth","K","NO","8","18","18","19","19","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jake Elliott","K","PHI","10","19","21","15","22","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zane Gonzalez","K","MIA","6","20","24","21","20","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Blake Grupe","K","IND","13","21","23","22","21","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chad Ryland","K","ARI","14","22","20","30","18","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Nick Folk","K","ATL","11","23","25","20","23","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Joey Slye","K","TEN","9","24","22","24","24","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Bass","K","BUF","7","25","19","25","27","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ryan Fitzgerald","K","CAR","5","26","29","23","26","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ben Sauls","K","NYG","8","27","27","26","25","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trey Smack","K","GB","11","28","26","29","29","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jake Moody","K","WAS","7","29","31","27","28","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jason Sanders","K","NYJ","13","30","28","28","30","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Andre Szmyt","K","CLE","11","31","30","32","32","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cade York","K","NYJ","13","32","33","31","31","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Matt Gay","K","LV","13","33","32","33","33","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
