"Rank","Name","Bye","Team","Pos","Andy","Jason","Mike","Markers"
"1","Jahmyr Gibbs","6","DET","RB","1","1","1","Fave"
"2","Bijan Robinson","11","ATL","RB","3","2","2",""
"3","Ja'Marr Chase","6","CIN","WR","2","4","3",""
"4","Christian McCaffrey","8","SF","RB","7","3","4",""
"5","Jaxon Smith-Njigba","11","SEA","WR","4","6","5",""
"6","Puka Nacua","11","LAR","WR","5","5","7",""
"7","Amon-Ra St. Brown","6","DET","WR","6","7","6",""
"8","CeeDee Lamb","14","DAL","WR","8","8","8",""
"9","Jonathan Taylor","13","IND","RB","11","9","9",""
"10","James Cook III","7","BUF","RB","9","10","11","Fave"
"11","De'Von Achane","6","MIA","RB","10","12","18",""
"12","Kenneth Walker","5","KC","RB","18","22","10","Fave"
"13","Chase Brown","6","CIN","RB","24","11","12","Fave"
"14","Justin Jefferson","6","MIN","WR","12","17","26",""
"15","A.J. Brown","11","NE","WR","16","13","29","Fave"
"16","Chris Olave","8","NO","WR","17","19","23",""
"17","Nico Collins","8","HOU","WR","13","31","22",""
"18","Josh Allen","7","BUF","QB","22","14","21",""
"19","Brock Bowers","13","LV","TE","23","15","15","Fave"
"20","Trey McBride","14","ARI","TE","20","26","17","Fave"
"21","Garrett Wilson","13","NYJ","WR","15","20","32","Fave"
"22","Drake London","11","ATL","WR","19","21","27",""
"23","George Pickens","14","DAL","WR","14","27","33",""
"24","Rashee Rice","5","KC","WR","21","18","30",""
"25","Omarion Hampton","7","LAC","RB","25","24","19","Fave"
"26","Saquon Barkley","10","PHI","RB","26","34","16",""
"27","Malik Nabers","8","NYG","WR","28","25","25",""
"28","Ashton Jeanty","13","LV","RB","47","16","20",""
"29","DeVonta Smith","10","PHI","WR","27","23","38","Fave"
"30","Zay Flowers","13","BAL","WR","29","30","35","Watch"
"31","Derrick Henry","13","BAL","RB","38","38","13",""
"32","Jaylen Waddle","10","DEN","WR","33","29","42","Fave"
"33","Jeremiyah Love","14","ARI","RB","52","43","14",""
"34","Kyren Williams","11","LAR","RB","59","32","31","Watch"
"35","Ladd McConkey","7","LAC","WR","30","28","51","Fave"
"36","Joe Burrow","6","CIN","QB","48","42","28",""
"37","Breece Hall","13","NYJ","RB","31","46","37","Watch"
"38","Emeka Egbuka","10","TB","WR","35","36","44","Fave"
"39","D'Andre Swift","10","CHI","RB","40","53","24","Watch"
"40","Tetairoa McMillan","5","CAR","WR","44","33","43","Watch"
"41","Lamar Jackson","13","BAL","QB","46","45","34","Fave"
"42","Tee Higgins","6","CIN","WR","36","39","46","Watch"
"43","Carnell Tate","9","TEN","WR","43","35","53","Fave"
"44","Davante Adams","11","LAR","WR","42","44","48",""
"45","Javonte Williams","14","DAL","RB","53","51","36","Fave"
"46","Luther Burden III","10","CHI","WR","32","49","54","Watch"
"47","Christian Watson","11","GB","WR","50","48","50","Fave"
"48","Travis Etienne Jr.","8","NO","RB","54","54","45",""
"49","Parker Washington","7","JAX","WR","45","52","52","Fave"
"50","Bucky Irving","10","TB","RB","60","56","40",""
"51","Cam Skattebo","8","NYG","RB","51","66","41",""
"52","Terry McLaurin","7","WAS","WR","49","50","57","Watch"
"53","Jameson Williams","6","DET","WR","39","57","58","Fave"
"54","DJ Moore","7","BUF","WR","37","47","72",""
"55","Bhayshul Tuten","7","JAX","RB","61","65","39","Watch"
"56","Mike Evans","8","SF","WR","69","41","56",""
"57","Rome Odunze","10","CHI","WR","41","55","76",""
"58","Marvin Harrison Jr.","14","ARI","WR","34","58","82",""
"59","DK Metcalf","9","PIT","WR","56","64","69",""
"60","Tyler Warren","13","IND","TE","63","37","86","Watch"
"61","Colston Loveland","10","CHI","TE","64","40","89",""
"62","Alec Pierce","13","IND","WR","55","69","66",""
"63","Brian Thomas Jr.","7","JAX","WR","57","61","78","Watch"
"64","Quinshon Judkins","11","CLE","RB","58","75","60",""
"65","Drake Maye","11","NE","QB","71","59","64",""
"66","TreVeyon Henderson","11","NE","RB","74","60","63",""
"67","Jadarian Price","11","SEA","RB","66","62","80",""
"68","David Montgomery","8","HOU","RB","77","73","47","Watch"
"69","Chris Godwin Jr.","10","TB","WR","73","68","62","Watch"
"70","MarShawn Lloyd","11","GB","RB","80","83","49","Watch"
"71","Rhamondre Stevenson","11","NE","RB","62","81","79","Watch"
"72","Quentin Johnston","7","LAC","WR","68","100","61","Watch"
"73","Michael Pittman Jr.","9","PIT","WR","72","67","84",""
"74","Michael Wilson","14","ARI","WR","70","92","75",""
"75","Rico Dowdle","9","PIT","RB","67","129","59",""
"76","Wan'Dale Robinson","9","TEN","WR","65","89","93",""
"77","Harold Fannin Jr.","11","CLE","TE","93","63","92",""
"78","Jayden Daniels","7","WAS","QB","107","76","68",""
"79","Dak Prescott","14","DAL","QB","110","72","67","Watch"
"80","Jalen Hurts","10","PHI","QB","104","78","70","Watch"
"81","Caleb Williams","10","CHI","QB","103","74","73","Fave"
"82","Trevor Lawrence","7","JAX","QB","105","79","71","Watch"
"83","Stefon Diggs","7","WAS","WR","82","118","65","Watch"
"84","Courtland Sutton","10","DEN","WR","86","90","83",""
"85","Kenny Gainwell","10","TB","RB","76","108","81","Watch"
"86","Jaylen Warren","9","PIT","RB","79","97","90",""
"87","Jordan Addison","6","MIN","WR","84","95","85",""
"88","De'Zhaun Stribling","8","SF","WR","94","107","74","Watch"
"89","Tucker Kraft","11","GB","TE","75","105","98",""
"90","Jacory Croskey-Merritt","7","WAS","RB","85","119","77","Watch"
"91","Jayden Reed","11","GB","WR","108","71","104",""
"92","George Kittle","8","SF","TE","89","109","87",""
"93","Chuba Hubbard","5","CAR","RB","96","106","94",""
"94","J.K. Dobbins","10","DEN","RB","129","124","55","Watch"
"95","Tony Pollard","9","TEN","RB","97","114","91",""
"96","Josh Downs","13","IND","WR","78","113","117",""
"97","Jonathon Brooks","5","CAR","RB","81","149","88","Watch"
"98","Jakobi Meyers","7","JAX","WR","83","128","121",""
"99","Justin Herbert","7","LAC","QB","148","77","100",""
"100","Jared Goff","6","DET","QB","135","85","99",""
"101","Jaxson Dart","8","NYG","QB","133","80","109",""
"102","Romeo Doubs","11","NE","WR","91","130","114",""
"103","Brock Purdy","8","SF","QB","139","82","102",""
"104","Matthew Stafford","11","LAR","QB","142","84","95",""
"105","Sam LaPorta","6","DET","TE","115","93","115",""
"106","Khalil Shakir","7","BUF","WR","88","122","124",""
"107","KC Concepcion","11","CLE","WR","95","96","133","Watch"
"108","Bo Nix","10","DEN","QB","132","88","108","Watch"
"109","Kyle Monangai","10","CHI","RB","102","123","107",""
"110","Makai Lemon","10","PHI","WR","113","70","135","Watch"
"111","Jordan Mason","6","MIN","RB","92","143","113","Fave"
"112","Xavier Worthy","5","KC","WR","100","112","122",""
"113","Jordan Love","11","GB","QB","144","91","106",""
"114","Baker Mayfield","10","TB","QB","149","86","110",""
"115","Malik Washington","6","MIA","WR","121","111","96",""
"116","Jalen Coker","5","CAR","WR","120","94","123",""
"117","Patrick Mahomes","5","KC","QB","143","87","120",""
"118","Tyler Shough","8","NO","QB","153","98","105",""
"119","Rashid Shaheed","11","SEA","WR","112","104","125",""
"120","Rachaad White","7","WAS","RB","106","146","111","Watch"
