source,source_name,canonical_id
udk,Travis Etienne Jr.,00-0036973
ffb,Travis Etienne Jr.,00-0036973
espn,Travis Etienne Jr.,00-0036973
yahoo,Travis Etienne Jr.,00-0036973
udk,Travis Hunter,00-0040718
ffb,Travis Hunter,00-0040718
espn,Travis Hunter,00-0040718
sleeper,Travis Hunter,00-0040718
yahoo,Travis Hunter,00-0040718
ffc,Travis Hunter,00-0040718
ffb,Kenneth Gainwell,00-0036919
udk,Hollywood Brown,00-0035662
ffb,Hollywood Brown,00-0035662
espn,Hollywood Brown,00-0035662
yahoo,Hollywood Brown,00-0035662
ffc,Hollywood Brown,00-0035662
