name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,fumbles_lost
Bijan Robinson,ATL,RB,1.5,1.4,324.9,290.9,17.1,322.9,19.0,0,0,0,0,0,280.0,1372.0,9.0,64.0,537.0,3.0,2.0
Jahmyr Gibbs,DET,RB,2.9,2.9,307.9,275.9,16.2,305.9,18.0,0,0,0,0,0,243.0,1191.0,10.0,60.0,508.0,3.0,1.0
Ja'Marr Chase,CIN,WR,3.7,3.4,311.1,254.6,15.0,309.1,18.2,0,0,0,0,0,3.0,16.0,0,109.0,1345.0,11.0,1.0
Puka Nacua,LAR,WR,4.8,4.9,312.5,257.0,15.1,310.5,18.3,0,0,0,0,0,10.0,55.0,0,107.0,1400.0,10.0,1.0
Christian McCaffrey,SF,RB,5.7,6.7,291.0,256.0,15.1,291.0,17.1,0,0,0,0,0,240.0,984.0,7.0,70.0,606.0,4.0,2.0
Jonathan Taylor,IND,RB,6.4,7.7,272.3,252.3,14.8,270.3,15.9,0,0,0,0,0,287.0,1385.0,11.0,36.0,278.0,1.0,2.0
Jaxon Smith-Njigba,SEA,WR,7.3,5.4,284.6,233.1,13.7,282.6,16.6,0,0,0,0,0,6.0,33.0,0,99.0,1343.0,8.0,1.0
James Cook,BUF,RB,8.2,9.7,260.8,243.3,14.3,258.8,15.2,0,0,0,0,0,264.0,1270.0,11.0,31.0,268.0,2.0,2.0
Amon-Ra St. Brown,DET,WR,8.6,11.2,280.5,225.5,13.3,278.5,16.4,0,0,0,0,0,3.0,16.0,0,106.0,1249.0,8.0,1.0
CeeDee Lamb,DAL,WR,10.3,10.6,270.5,220.5,13.0,268.5,15.8,0,0,0,0,0,3.0,16.0,0,96.0,1249.0,8.0,1.0
Ashton Jeanty,LV,RB,11.9,15.4,259.5,234.5,13.8,259.5,15.3,0,0,0,0,0,281.0,1152.0,8.0,50.0,383.0,2.0,2.0
Justin Jefferson,MIN,WR,12.4,12.4,250.4,205.4,12.1,250.4,14.7,0,0,0,0,0,1.0,6.0,0,90.0,1178.0,7.0,0
De'Von Achane,MIA,RB,13.6,16.2,250.0,222.0,13.1,250.0,14.7,0,0,0,0,0,212.0,1070.0,6.0,56.0,430.0,2.0,2.0
Omarion Hampton,LAC,RB,14.7,18.8,241.9,217.9,12.8,241.9,14.2,0,0,0,0,0,232.0,1015.0,8.0,48.0,364.0,2.0,2.0
Saquon Barkley,PHI,RB,15.4,19.5,243.5,224.0,13.2,241.5,14.2,0,0,0,0,0,271.0,1220.0,8.0,35.0,265.0,2.0,1.0
Kenneth Walker,KC,RB,16.8,14.6,230.3,211.8,12.5,230.3,13.5,0,0,0,0,0,242.0,1081.0,8.0,37.0,272.0,2.0,1.0
Jeremiyah Love,ARI,RB,17.1,19.7,239.0,212.5,12.5,239.0,14.1,0,0,0,0,0,230.0,1003.0,6.0,53.0,397.0,2.0,1.0
Drake London,ATL,WR,17.6,14.1,250.2,203.2,12.0,248.2,14.6,0,0,0,0,0,1.0,6.0,0,90.0,1156.0,7.0,0
Chase Brown,CIN,RB,19.1,22.2,255.2,226.7,13.3,255.2,15.0,0,0,0,0,0,220.0,945.0,8.0,57.0,417.0,3.0,2.0
Trey McBride,ARI,TE,20.3,18.7,240.9,189.4,11.1,238.9,14.1,0,0,0,0,0,0,0,0,99.0,999.0,7.0,1.0
Brock Bowers,LV,TE,20.6,20.2,234.5,186.0,10.9,232.5,13.7,0,0,0,0,0,4.0,16.0,0,93.0,979.0,7.0,1.0
