yahoo_rank,name,team,position,percent_drafted,preseason_adp,adp
1,Jahmyr Gibbs,DET,RB,100,1.4,1.4
2,Bijan Robinson,ATL,RB,100,2,2
3,Ja'Marr Chase,CIN,WR,100,3.5,3.4
4,Puka Nacua,LAR,WR,100,4.9,4.9
5,Jonathan Taylor,IND,RB,100,6.7,6.7
6,Christian McCaffrey,SF,RB,100,5.7,5.7
7,Amon-Ra St. Brown,DET,WR,100,7.9,7.9
8,Jaxon Smith-Njigba,SEA,WR,100,7.1,7
9,James Cook III,BUF,RB,100,9.6,9.6
10,Saquon Barkley,PHI,RB,100,11.7,11.7
11,CeeDee Lamb,DAL,WR,100,10.8,10.7
12,Kenneth Walker III,KC,RB,100,15.9,16
13,Justin Jefferson,MIN,WR,100,13.1,13
14,Chase Brown,CIN,RB,100,16.1,16.1
15,De'Von Achane,MIA,RB,100,15.5,15.4
16,Omarion Hampton,LAC,RB,100,18.6,18.5
17,Derrick Henry,BAL,RB,100,17.5,17.5
18,Nico Collins,HOU,WR,100,22.2,22.2
19,Brock Bowers,LV,TE,100,21.2,21.1
20,Drake London,ATL,WR,100,19.5,19.4
21,Ashton Jeanty,LV,RB,100,16.1,15.9
22,A.J. Brown,NE,WR,100,24.3,24.4
23,George Pickens,DAL,WR,100,22.4,22.4
24,Malik Nabers,NYG,WR,100,31.4,31.5
25,Chris Olave,NO,WR,100,32.2,32.2
26,DeVonta Smith,PHI,WR,100,29.6,29.5
27,Kyren Williams,LAR,RB,100,28.6,28.6
28,Tee Higgins,CIN,WR,100,33.5,33.5
29,Trey McBride,ARI,TE,100,26.5,26.3
30,Breece Hall,NYJ,RB,100,35,35
31,Josh Allen,BUF,QB,100,20,20
32,Jeremiyah Love,ARI,RB,100,29.6,29.3
33,Zay Flowers,BAL,WR,100,35.8,35.9
34,Jaylen Waddle,DEN,WR,100,40.8,40.9
35,Javonte Williams,DAL,RB,100,34.5,34.3
36,Rashee Rice,KC,WR,100,35.2,35
